vehicle_id,scenario,total_distance,average_passengers,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4,ratio_out,utilization_rate,reported_time,idling_time,moving_time,pick_up,drop_off,revenue_trips,rebalance_trips
s1.111,1,369.870618,2.724492614,0.17903493,0.066972709,0.094067836,0.170313866,0.489610659,0,0.82096507,86916,13166,73750,413,413,413,22
s1.112,1,397.986896,2.892916733,0.143288153,0.057461544,0.080946721,0.199652579,0.518651002,0,0.856711847,87502,8324,79178,515,515,515,4
s1.113,1,420.018161,3.130826586,0.071016879,0.045114588,0.116451672,0.21685879,0.550558071,0,0.928983121,87444,3568,83876,502,502,502,1
s1.114,1,295.6206399,3.245730712,0.044750987,0.075418424,0.076949245,0.19511158,0.607769765,0,0.955249013,58792,250,58542,303,303,303,18
s1.115,1,282.987034,2.232972673,0.372601378,0.024413927,0.046643085,0.110093864,0.446247746,0,0.627398622,86508,30520,55988,345,345,345,13
s1.116,1,390.3350809,2.874241461,0.143951916,0.050072242,0.096861816,0.206010518,0.503103508,0,0.856048084,86515,6887,79628,495,495,495,20
s1.117,1,93.12763031,2.471095728,0.139019476,0.158495635,0.134318334,0.228702795,0.33946376,0,0.860980524,19357,265,19092,83,83,83,13
s1.118,1,75.29740869,0.416301005,0.85582006,0.021052874,0.035621739,0.026016653,0.061488673,0,0.14417994,86829,71925,14904,53,53,53,14
s1.119,1,423.1479782,3.259660456,0.061309205,0.037347543,0.089725053,0.20360999,0.608008209,0,0.938690795,85762,1882,83880,525,525,525,7
s1.120,1,367.7494251,2.813034656,0.190862137,0.04431737,0.061391778,0.167781134,0.535647582,0,0.809137863,86738,13045,73693,449,449,449,26
s1.121,1,348.0311931,2.740308662,0.226291037,0.032019086,0.054038628,0.150392676,0.537258573,0,0.773708963,87604,18775,68829,438,438,438,18
s1.122,1,376.0085801,2.737891117,0.192252149,0.052332378,0.080297994,0.175507163,0.499610315,0,0.807747851,87250,12758,74492,481,481,481,29
s1.123,1,386.1645584,2.949619181,0.139269196,0.040670517,0.084596976,0.20209853,0.533364781,0,0.860730804,86918,9646,77272,480,480,480,14
s1.124,1,316.7724033,3.498631096,0.035495989,0.018639373,0.051588565,0.200289698,0.693986375,0,0.964504011,62824,138,62686,424,424,424,20
s1.125,1,387.2626235,2.807915609,0.175455439,0.040458068,0.09467645,0.179535532,0.509874511,0,0.824544561,87498,10759,76739,447,447,447,26
s1.126,1,358.0885692,2.874886578,0.191933645,0.024627161,0.057467253,0.168562853,0.557409088,0,0.808066355,85962,10992,74970,454,454,454,28
s1.128,1,410.1222322,2.982971941,0.114139596,0.068249837,0.085060028,0.18560011,0.546950429,0,0.885860404,87209,3899,83310,521,521,521,22
s1.129,1,376.5575326,2.643232908,0.2103708,0.058331402,0.076419467,0.187450753,0.467427578,0,0.7896292,86300,9369,76931,425,425,425,25
s1.130,1,398.4757245,2.977344242,0.134206762,0.047519881,0.068150352,0.206968362,0.543154643,0,0.865793238,87395,7991,79404,464,464,464,7
s1.131,1,410.7642619,3.148577268,0.090657511,0.034655398,0.083951496,0.216923501,0.573812094,0,0.909342489,87086,5814,81272,472,472,472,21
s1.132,1,418.187635,3.033104506,0.085595475,0.062805636,0.11361234,0.208872008,0.529114542,0,0.914404525,86091,1511,84580,500,500,500,18
s1.133,1,394.5632029,2.953346203,0.141903383,0.034208954,0.080449072,0.21551526,0.527923331,0,0.858096617,87024,8683,78341,439,439,439,24
s1.134,1,348.8516778,2.590939644,0.233508715,0.039796959,0.089989338,0.175655943,0.461049045,0,0.766491285,86288,16895,69393,393,393,393,15
s1.135,1,413.2488594,3.053084082,0.104762347,0.058219377,0.085650219,0.18190796,0.569460097,0,0.895237653,86071,3705,82366,500,500,500,22
s1.136,1,383.9264929,2.773775721,0.177388884,0.060272175,0.083473795,0.168904626,0.50996052,0,0.822611116,88399,11562,76837,425,425,425,7
s1.137,1,319.8653372,2.46683787,0.28943674,0.029412772,0.064235576,0.158705701,0.458209211,0,0.71056326,87615,24176,63439,372,372,372,26
s1.139,1,125.9354794,3.266787874,0.056005691,0.047626576,0.080826845,0.204655942,0.610884945,0,0.943994309,25301,219,25082,127,127,127,16
s1.140,1,435.9264819,3.081217401,0.077835731,0.062016393,0.106207371,0.208975755,0.54496475,0,0.922164269,87235,153,87082,486,486,486,25
s1.141,1,399.5175558,2.964153631,0.123481037,0.061263869,0.084085636,0.189959341,0.541210116,0,0.876518963,87066,7480,79586,463,463,463,24
s1.142,1,237.5714928,1.58484453,0.520263772,0.027957137,0.074060082,0.102108806,0.275610203,0,0.479736228,87348,40042,47306,224,224,224,27
s1.143,1,419.6537978,3.099823504,0.085062003,0.062873908,0.088156417,0.194993926,0.568913746,0,0.914937997,87254,3631,83623,508,508,508,20
s1.144,1,396.9635148,2.840677307,0.156933138,0.05790954,0.084697704,0.188466112,0.511993506,0,0.843066862,87464,8674,78790,456,456,456,17
