vehicle_id,timestamp,latitude,longitude,num_passengers,distance,duration
0,1381011353,40.72198,-74.00823,4,0.045288289,9
0,1381011362,40.72264,-74.00812,4,0.045973833,9
0,1381011371,40.72328,-74.00801,4,0.044602894,9
0,1381011376,40.72365,-74.00795,4,0.025762409,5
0,1381011377,40.72376,-74.00793,3,0.007673731,1
0,1381011397,40.72519,-74.00767,3,0.099758476,20
0,1381011406,40.72585,-74.00755,3,0.04604236,9
0,1381011424,40.72569,-74.00585,3,0.089718118,18
0,1381011425,40.72568,-74.00571,3,0.007364728,1
0,1381011437,40.72556,-74.00455,3,0.061316237,12
0,1381011443,40.72551,-74.00403,3,0.027452399,6
0,1381011451,40.72525,-74.00338,3,0.03849359,8
0,1381011471,40.7265,-74.00235,4,0.101844872,20
0,1381011480,40.72688,-74.00312,4,0.048123654,9
0,1381011484,40.72696,-74.00344,4,0.017647455,4
0,1381011494,40.72766,-74.00316,4,0.050549457,10
0,1381011496,40.72783,-74.00308,4,0.012473109,2
0,1381011499,40.72804,-74.00301,4,0.014968585,3
0,1381011504,40.72837,-74.00285,4,0.024296379,5
0,1381011505,40.72847,-74.0028,4,0.007390278,1
0,1381011524,40.72975,-74.00216,4,0.094595434,19
0,1381011536,40.73058,-74.00168,4,0.062626151,12
0,1381011543,40.73107,-74.00141,4,0.0366965,7
0,1381011553,40.73171,-74.00095,4,0.050364,10
0,1381011562,40.73231,-74.00051,4,0.047437026,9
0,1381011572,40.73293,-74.00007,4,0.048649714,10
0,1381011583,40.73366,-73.99952,4,0.05809173,11
0,1381011591,40.73415,-73.99918,4,0.038258453,8
0,1381011601,40.73478,-73.99871,4,0.050013268,10
0,1381011610,40.73539,-73.99827,4,0.048041766,9
0,1381011620,40.73603,-73.9978,4,0.050615796,10
0,1381011630,40.73667,-73.99734,4,0.050363141,10
0,1381011640,40.73736,-73.99684,4,0.054399702,10
0,1381011651,40.73804,-73.99634,4,0.053794823,11
0,1381011661,40.73869,-73.99587,4,0.051220309,10
0,1381011670,40.73927,-73.99545,4,0.04571967,9
0,1381011679,40.73986,-73.99502,4,0.0465775,9
0,1381011688,40.74044,-73.99459,4,0.045973645,9
0,1381011697,40.74103,-73.99416,4,0.046577309,9
0,1381011706,40.74162,-73.99374,4,0.046326371,9
0,1381011715,40.74223,-73.99329,4,0.048293916,9
0,1381011726,40.7429,-73.99281,4,0.052683709,11
0,1381011736,40.74357,-73.99232,4,0.052935366,10
0,1381011746,40.74419,-73.99187,4,0.048897994,10
0,1381011756,40.74481,-73.99142,4,0.048897888,10
0,1381011765,40.74542,-73.99097,4,0.048293365,9
0,1381011775,40.74604,-73.99052,4,0.048897678,10
0,1381011784,40.74666,-73.99007,4,0.048897572,9
0,1381011794,40.74728,-73.98962,4,0.048897466,10
0,1381011803,40.7479,-73.98916,4,0.049151767,9
0,1381011813,40.74852,-73.9887,4,0.049151657,10
0,1381011823,40.74913,-73.98824,4,0.048550289,10
0,1381011833,40.74982,-73.98775,4,0.054147346,10
0,1381011843,40.75046,-73.98728,4,0.0506132,10
0,1381011853,40.75109,-73.98682,4,0.049754798,10
0,1381011862,40.7517,-73.9864,4,0.04754586,9
0,1381011872,40.75232,-73.98595,4,0.048896606,10
0,1381011881,40.75294,-73.98549,4,0.049150872,9
0,1381011891,40.75356,-73.98504,4,0.048896394,10
0,1381011901,40.75418,-73.9846,4,0.048646228,10
0,1381011911,40.75484,-73.98412,4,0.052075198,10
0,1381011949,40.75348,-73.98089,4,0.193457778,38
0,1381011968,40.7528,-73.97929,4,0.096044407,19
0,1381011979,40.75348,-73.97878,4,0.054048549,11
0,1381011988,40.7541,-73.97833,4,0.048896302,9
0,1381011998,40.75473,-73.97787,3,0.049754159,10
0,1381012008,40.75535,-73.97742,3,0.048896089,10
0,1381012018,40.75497,-73.97652,3,0.053939404,10
0,1381012025,40.75472,-73.97591,3,0.036307711,7
0,1381012028,40.75463,-73.9757,3,0.012631049,3
0,1381012037,40.75526,-73.97524,3,0.049754067,9
0,1381012047,40.75589,-73.97479,3,0.049502705,10
0,1381012057,40.75652,-73.97433,3,0.049753846,10
0,1381012066,40.75713,-73.97388,3,0.048291341,9
0,1381012076,40.75776,-73.97342,4,0.049753628,10
0,1381012086,40.75839,-73.97297,4,0.049502284,10
0,1381012095,40.75902,-73.97251,4,0.049753407,9
0,1381012105,40.75964,-73.97206,4,0.048895356,10
0,1381012123,40.759,-73.97053,3,0.091491439,18
0,1381012142,40.75832,-73.96891,3,0.096952738,19
0,1381012152,40.75895,-73.96846,3,0.049502189,10
0,1381012162,40.75957,-73.96801,3,0.048895368,10
0,1381012172,40.76026,-73.96754,3,0.053657415,10
0,1381012183,40.76095,-73.96703,3,0.054649026,11
0,1381012193,40.76156,-73.96658,3,0.048290575,10
0,1381012219,40.76062,-73.96435,3,0.133588452,26
0,1381012236,40.76004,-73.96292,3,0.084910687,17
0,1381012247,40.75962,-73.96196,3,0.058032539,11
0,1381012257,40.76024,-73.96151,2,0.048895254,10
0,1381012267,40.76086,-73.96106,2,0.048895148,10
